mois,RR,INST,TN,TX,FXI,DXI,UN,UX
1,111.7,3347.5,1.5,7.3,9.4,183.5,72.0,96.3
2,92.5,4586.5,1.5,8.9,9.9,185.3,63.1,94.5
3,92.8,6407.0,3.6,12.5,10.3,183.9,53.4,91.8
4,100.9,7943.0,5.6,15.4,10.0,193.4,50.5,92.1
5,101.6,9204.2,9.0,19.0,9.4,193.7,52.7,93.8
6,83.6,10280.3,12.3,23.0,8.8,195.2,51.7,93.7
7,60.4,11176.6,13.8,24.9,8.6,213.5,49.3,92.8
8,70.4,10097.1,13.7,25.0,8.2,201.8,49.1,93.0
9,77.8,8616.7,10.9,21.4,8.3,179.4,53.0,93.9
10,93.3,6265.1,8.7,17.1,8.6,177.3,63.2,96.0
11,124.8,3867.3,4.4,11.0,9.2,175.5,71.5,96.9
12,123.6,3766.3,2.0,8.3,9.1,179.2,72.5,96.5
